product_category,en,nl,de,fr
Toy,Remote controlled helicoptor,Afstandbestuurbare helikopter,Ferngesteuerter Hubschrauber,Hélicoptère téléguidé
Toy,Robot,Robot,Roboter,Robot
Toy,Rocking horse,Hobbelpaard,Schaukelpferd,Cheval à bascule
Toy,Rotary plate / rotary table,Draaiplateau / draaischijf,Drehteller,Platine disque
Toy,Roundabout,Draaimolen,Karussell,Manège
Toy,Santa Claus,Kerstman,Weihnachtsmann,Père Noël
Toy,Sawing machine,Zaagmachine,Sägemaschine,Scieuse
Toy,Scales,Weegschaal,Waage,Terraillon / Balance
Toy,Sewing machine,Naaimachine,Nähmaschine,Machine à coudre
Toy,Step,Step,Scooter / Tretroller,Trottinette
Toy,Teddy bear,Teddybeer,Teddybär,Nounours
Toy,Telescope mount (motorised),Telescoopbevestiging (gemotoriseerd),Teleskophalterung (motorisiert),Support de télescope motorisé
Toy,Tiptoi pen,Tiptoi-stift,Tiptoi-Stift,Tiptoi stylo
Toy,Toy,Speelgoed,Spielzeug,Jouet
Toy,Toy animal,Speelgoedbeest,Spielzeugtier,Animal jouet
Toy,Toy boat,Speelgoedboot,Spielboot,Bateau-jouet
Toy,Toy car,Speelgoedauto,Spielzeugauto,Voiture jouet
Toy,Toy chainsaw,Speelgoedkettingzaag,Spielzeug-Kettensäge,Tronçonneuse jouet
Toy,Toy computer,Speelgoedcomputer,Spielzeug-Computer,Ordinateur jouet
Toy,Toy crane,Speelgoedhijskraan,Spielzeugkran,Grue-jouet
Toy,Toy dog,Speelgoedhond,Spielzeughund,Chien jouet
Toy,Toy figure,Speelgoedfiguur,Spielzeugfigur,Figurine de jouet
Toy,Toy helicopter,Speelgoedhelikopter,Spielzeug-Hubschrauber,Hélicoptère jouet
Toy,Toy hippo,Speelgoednijlpaard,Spielzeug-Nilpferd,Hippopotame jouet
Toy,Toy locomotive,Speelgoedlocomotief,Spielzeuglokomotive,Spielzeuglokomotive
Toy,Toy microphone,Speelgoedmicrofoon,Spielzeugmikrofon,Microphone jouet
Toy,Toy monkey,Speelgoedaap,Spielzeugaffe,Singe-jouet
Toy,Toy piano,Speelgoedpiano,Spielzeug-Klavier,Piano jouet
Toy,Toy tape recorder,Speelgoedbandrecorder,Spielzeugkassettenrekorder,Magnétophone jouet
Toy,Toy tractor,Speelgoedtractor,Spielzeugtraktor,Tracteur-jouet
Toy,Toy truck,Speelgoedvrachtwagen,Spielzeug-LKW,Camion-jouet
Toy,Train (toy),Speelgoedtrein,Zug (Spielzeug),Train (jouet)
Toy,Transformer,Transformator,Transformator,Transformateur
Toy,Vacuum cleaner,Stofzuiger,Staubsauger,Aspirateur
Toy,Walkie-talkie,Walkie-talkie,Funkgerät,Talkie-walkie
Toy,Whistle,Fluitje,Trillerpfeife,Sifflet
TV and gaming-related accessories,Antenna,Antenne,Antenne,Antenne
TV and gaming-related accessories,Blu-ray player,Blu-ray-speler,Blu-ray-Spieler,Lecteur blu-ray
TV and gaming-related accessories,Dealing machine (for bridge),Deelautomaat (voor bridge),Kartenausgabeautomat (für Bridge),Distributeur de cartes (pour bridge)
TV and gaming-related accessories,Decoder TV,Decoder tv,Dekodierer Fernseher,Décodeur télé
TV and gaming-related accessories,DVD Cinema System,Dvd-cinemasysteem,DVD-Heimkinosystem,Home cinéma / lecteur DVD
TV and gaming-related accessories,Home cinema,Home cinema,Heimkinosystem,Home-cinéma
TV and gaming-related accessories,Microphone,Microfoon,Mikrofon,Microphone
TV and gaming-related accessories,Projection screen,Projectiescherm,Projektionswand,Écran de projection
TV and gaming-related accessories,Remote control,Afstandsbediening,Fernbedienung,Télécommande
TV and gaming-related accessories,Satellite receiver,Satellietontvanger,Satellitenempfänger,Antenne parabolique
TV and gaming-related accessories,Television,Televisie,Fernseher,Téléviseur
TV and gaming-related accessories,Television lift,Televisielift,Fernsehlift,Lève-écran
TV and gaming-related accessories,Television with video recorder,Televisie met videorecorder,Fernseher mit Videorekorder,Télévision avec magnétoscope
TV and gaming-related accessories,Transmission equipment,Zendapparatuur,Sendeanlagen / √úbertragungsgeräte,Équipement de transmission
TV and gaming-related accessories,Video / DVD player / recorder,Video- / dvd-speler / -recorder,Video- / DVD-Spieler / -Rekorder,Lecteur DVD / Magnétoscope
TV and gaming-related accessories,Video player / recorder,Videospeler / -recorder,Videospieler / -rekorder,Lecteur video / Magnétoscope
TV and gaming-related accessories,Video scanner,Videoscanner,Video-Scanner,Scanner vidéo
TV and gaming-related accessories,Video tape,Videoband,Videokassette,Cassette vidéo
Vacuum,Floor cleaner,Vloerreiniger,Hartbodenreiniger,Nettoyeur de sol
Vacuum,Garden vacuum,Bladzuiger,Laubsauger,Aspirateur à feuilles / aspirateur jardin
Vacuum,Handheld vacuum cleaner,Kruimeldief / kruimelzuiger / handstofzuiger,Tischstaubsauger,Ramasse-miettes / Aspirateur de table
Vacuum,Robotic vacuum cleaner,Robotstofzuiger,Staubsaugerroboter / Saugroboter,Aspirateur robot
Vacuum,Vacuum cleaner,Stofzuiger,Staubsauger,Aspirateur
Vacuum,Vacuuming machine,Vacumeerapparaat,Vakumiergerät,Appareil sous vide
Vacuum,Water vacuum cleaner,Waterzuiger,Wassersauger,Aspirateur eau
Vacuum,Wet and dry vacuum cleaner,Nat- en droogzuiger,Nass-Trockensauger,Aspirateur eau et poussière
Watch/clock,Activity tracker / Fitness watch,Activiteitstracker,Activity Tracker / Aktivitätstracker / Fitness-Uhr,Activity tracker / Traqueur d'activité / Montre fitness
Watch/clock,Alarm clock,Wekker,Wecker,Réveil
Watch/clock,Alarm clock radio,Wekkerradio,Radiowecker,Radio-réveil
Watch/clock,Clock,Klok,Uhr,Horloge
Watch/clock,Clock with thermometer,Klok met thermometer,Uhr mit Thermometer,Horloge avec thermomètre
Watch/clock,Cooking timer,Kookwekker,Kochwecker,Minuteur cuisine
Watch/clock,Egg timer,Eierwekker,Eieruhr,Minuteur
Watch/clock,Electronic pigeon clock,Elektronische duivenklok,Taubenuhr / Konstatieruhr elektronisch,Constateur électronique
Watch/clock,Interval timer,Intervaltimer / sporttimer,Intervalltaktgeber / Intervall-Timer,Minuterie à intervalles
Watch/clock,Other,Overig,Anderes,Divers
Watch/clock,Schaakklok,Schaakklok,Schachuhr,Pendule d'échecs
Watch/clock,Smartwatch,Smartwatch,Smartwatch,Smartwatch / Montre connectée
Watch/clock,Sunbed timer,Zonnebanktimer,Sonnenbank-Timer,Minuterie pour banc solaire
Watch/clock,Time switch,Schakelklok,Zeitschaltuhr,Minuterie
Watch/clock,Time switch / Timer,Schakelklok / Tijdschakelaar,Zeitschaltuhr / Timer,Minuterie
Watch/clock,Timer,Tijdklok,Schaltuhr,Temporisateur
Watch/clock,Travel alarm clock,Reiswekker,Reisewecker,Réveil de voyage
Watch/clock,Water sprinkler timer,Watersproeitimer,Sprinkler-Zeitschaltuhr,Minuteur d'arrosage
Watch/clock,World clock,Wereldklok,Weltzeituhr,Horloge mondiale
Watch/clock,Wrist watch,Horloge,Armbanduhr,Montre
